Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision
37-611-6911,18.0,Female,Middle,Married,Bachelor's,Middle,Évry,Gardening & Outdoors,$50.0,4,Mixed,5,5,2.0,None,Somewhat Sensitive,1,7,None,Tablet,Credit Card,3/1/2024,True,False,Need-based,No Preference,2
29-392-9296,28.0,Male,High,Married,High School,High,Huocheng,Food & Beverages,$102.55,11,In-Store,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,PayPal,4/16/2024,True,False,Wants-based,Standard,6
84-649-5117,35.0,Female,Middle,Single,Master's,High,Huzhen,Office Supplies,$182.95,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,3/15/2024,True,True,Impulsive,No Preference,3
48-980-6078,38.0,Female,Middle,Single,Master's,Middle,Wiwilí,Home Appliances,$261.1,6,Mixed,3,1,1.0,High,Somewhat Sensitive,0,1,None,Smartphone,Other,10/4/2024,True,True,Need-based,Express,10
91-170-9072,43.0,Female,Middle,Widowed,High School,Middle,Nara,Furniture,$404.86,6,Mixed,3,4,0.0,Medium,Not Sensitive,2,10,None,Smartphone,Debit Card,1/30/2024,False,False,Wants-based,No Preference,4
82-561-4233,36.0,Male,Middle,Married,Master's,High,Boro Utara,Office Supplies,$200.19,8,Mixed,3,3,0.0,High,Not Sensitive,2,3,None,Tablet,Debit Card,3/19/2024,False,False,Planned,No Preference,7
90-144-9193,43.0,Female,Middle,Divorced,High School,Middle,Liren,Furniture,$372.33,12,Online,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,3/15/2024,True,False,Need-based,Express,13
88-661-4689,47.0,Male,Middle,Single,High School,Middle,Taocheng,Books,$487.65,6,Online,5,4,1.0,Low,Somewhat Sensitive,2,9,None,Desktop,Credit Card,3/17/2024,False,True,Impulsive,No Preference,13
37-065-3182,33.0,Female,High,Divorced,Master's,Middle,Gråbo,Office Supplies,$171.87,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,6/10/2024,False,False,Need-based,Standard,7
84-894-9222,54.0,Male,High,Married,Bachelor's,High,Pryamitsyno,Sports & Outdoors,$600.0,7,Online,2,5,1.0,None,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,10/7/2024,True,False,Need-based,No Preference,13
44-674-4037,58.0,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,$600.0,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,7/2/2024,True,False,Planned,Express,12
78-116-8349,51.0,Female,High,Widowed,Bachelor's,Middle,Győr,Sports & Outdoors,$600.0,5,Online,4,3,1.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,12/27/2024,True,False,Planned,No Preference,1
19-933-8095,63.0,Male,Middle,Single,Bachelor's,High,Gaosheng,Luxury Goods,$600.0,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,8/5/2024,True,True,Need-based,No Preference,5
80-684-5072,66.0,Male,High,Married,High School,Middle,Rokytne,Animal Feed,$600.0,4,Mixed,5,5,0.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,7/16/2024,False,True,Wants-based,Standard,14
23-302-7502,72.0,Female,High,Widowed,High School,High,Alameda,Health Care,$600.0,2,Online,4,4,0.5,None,Not Sensitive,0,4,Medium,Desktop,PayPal,12/14/2024,True,True,Planned,No Preference,14
90-069-8934,78.0,Male,High,Divorced,Master's,High,Dhankutā,Hotels,$600.0,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,8/11/2024,False,True,Wants-based,Express,11
45-073-7243,46.0,Male,High,Single,Bachelor's,High,Jindong,Furniture,$436.38,6,Mixed,5,5,2.0,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,10/18/2024,False,True,Planned,Standard,8
89-883-2101,58.0,Female,Middle,Divorced,Bachelor's,High,Ngeru,Mobile Accessories,$600.0,10,Mixed,2,4,0.0,High,Very Sensitive,0,8,None,Tablet,PayPal,12/9/2024,True,True,Impulsive,No Preference,13
00-477-9449,82.0,Male,Middle,Widowed,Bachelor's,High,White Rock,Packages),$600.0,10,In-Store,2,4,2.0,Medium,Not Sensitive,0,3,None,Desktop,Other,7/23/2024,False,True,Impulsive,Standard,3
67-159-7366,86.0,Female,High,Widowed,Bachelor's,Middle,Monastyrshchina,Electronics,$600.0,10,In-Store,2,4,1.0,None,Very Sensitive,1,4,Low,Smartphone,Debit Card,7/8/2024,False,False,Wants-based,Standard,13
85-691-4293,91.0,Female,Middle,Widowed,High School,Middle,Pangkalanbunut,Software & Apps,$600.0,7,Mixed,4,2,0.0,None,Very Sensitive,1,2,Medium,Smartphone,PayPal,7/23/2024,True,False,Wants-based,No Preference,11
56-085-0464,96.0,Female,High,Married,Master's,High,Lederaba,Baby Products,$600.0,5,Online,5,1,0.0,Medium,Very Sensitive,0,6,None,Smartphone,Other,7/31/2024,True,False,Impulsive,Express,7
33-264-2822,102.0,Male,High,Divorced,Bachelor's,Middle,Lugo,Toys & Games,$600.0,7,In-Store,4,4,0.7,Medium,Not Sensitive,2,1,None,Tablet,Debit Card,2/25/2024,True,True,Impulsive,Standard,6
95-478-2650,94.0,Female,Middle,Single,Bachelor's,Middle,São Roque,Software & Apps,$600.0,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,7/10/2024,False,True,Wants-based,Standard,9
04-349-6759,24.0,Female,High,Married,Bachelor's,High,Banī Khaddāsh,Food & Beverages,$137.71,6,In-Store,4,1,1.0,None,Very Sensitive,2,10,High,Tablet,Other,12/25/2024,True,False,Impulsive,Standard,8
21-755-8745,84.0,Male,High,Widowed,High School,High,Montpellier,Packages),$600.0,3,Mixed,2,4,2.0,High,Not Sensitive,1,3,High,Smartphone,PayPal,5/31/2024,True,True,Planned,Standard,10
29-625-7057,106.0,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,$600.0,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,9/4/2024,True,True,Planned,Standard,7
58-623-8404,86.0,Male,High,Single,Master's,High,Pasirhuni,Electronics,$600.0,10,In-Store,3,4,1.0,Medium,Very Sensitive,0,4,None,Desktop,Debit Card,7/24/2024,False,True,Need-based,Express,2
56-506-4709,108.0,Male,Middle,Married,Bachelor's,Middle,Glendale,Arts & Crafts,$600.0,2,In-Store,2,5,1.0,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,11/16/2024,False,True,Planned,No Preference,9
25-839-8670,111.0,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,$600.0,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,7/6/2024,True,True,Planned,Standard,3
89-194-0596,23.0,Female,High,Married,Bachelor's,Middle,Marseille,Gardening & Outdoors,$50.0,5,Online,4,2,0.0,None,Very Sensitive,2,7,None,Smartphone,Other,2/10/2024,True,False,Planned,Express,12
55-163-1389,58.0,Male,High,Divorced,Bachelor's,High,Nasielsk,Mobile Accessories,$600.0,6,Online,3,2,1.0,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,6/29/2024,False,True,Planned,Express,10
28-225-4286,59.0,Male,High,Married,Bachelor's,Middle,Paris 06,Mobile Accessories,$600.0,5,Mixed,4,5,1.0,None,Somewhat Sensitive,1,2,None,Tablet,Other,1/26/2024,True,False,Need-based,Standard,9
14-305-8712,60.0,Male,High,Widowed,High School,Middle,Bronnitsy,Mobile Accessories,$600.0,10,Online,3,4,0.0,None,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,6/15/2024,True,False,Impulsive,No Preference,7
85-738-6864,54.0,Male,Middle,Married,High School,High,Inayauan,Mobile Accessories,$600.0,7,In-Store,2,4,1.0,None,Not Sensitive,1,3,None,Tablet,Cash,6/8/2024,True,False,Planned,No Preference,4
17-198-5155,47.0,Female,High,Single,Bachelor's,High,Qianjin,Books,$498.54,6,In-Store,3,4,1.0,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,5/21/2024,True,True,Planned,Express,13
15-354-9904,116.0,Male,Middle,Single,Bachelor's,High,Bagahanlad,Groceries,$600.0,7,Online,3,5,0.0,None,Not Sensitive,1,9,Medium,Tablet,Other,9/1/2024,True,False,Wants-based,Standard,7
